2560	1950
1060	1951
1745	1952
2250	1953
3120	1954
2480	1955
2850	1956
2950	1957
2180	1958
520	1959
1220	1960
970	1961
1500	1962
2860	1963
3020	1964
3310	1965
372	1966
1520	1967
1770	1968
1670	1969
740	1970
2550	1971
3060	1972
1360	1973
1070	1974
3280	1975
2190	1976
812	1977
818	1978
2160	1979
2080	1980
712	1981
3010	1982
2270	1983
2840	1984
1980	1985
277	1986
788	1987
1210	1988
1940	1989
1320	1990
1480	1991
324	1992
355	1993
779	1994
1040	1995
1300	1996
578	1997
1990	1998
467	1999
2690	2000
1230	2001
1350	2002
2480	2003
2550	2004
1780	2005
1480	2006
2120	2007
1440	2008
550	2009
2700	2010
1200	2011
1030	2012
512	2013
