1080	1950
1050	1951
3460	1952
3760	1953
2540	1954
2680	1955
3210	1956
3340	1957
2560	1958
350	1959
700	1960
1630	1961
1520	1962
2450	1963
2940	1964
1800	1965
257	1966
966	1967
2720	1968
1620	1969
301	1970
2480	1971
1490	1972
2190	1973
830	1974
3950	1975
1740	1976
542	1977
830	1978
1640	1979
1190	1980
264	1981
3600	1982
2900	1983
1750	1984
1490	1985
303	1986
294	1987
1760	1988
1080	1989
1020	1990
728	1991
184	1992
308	1993
1130	1994
1620	1995
1940	1996
231	1997
2160	1998
660	1999
3120	2000
1700	2001
1100	2002
1880	2003
2450	2004
1030	2005
290	2006
1340	2007
221	2008
372	2009
2860	2010
1170	2011
1200	2012
332	2013
